date,blood_type,demand,collection
2020-01-01,O+,145,120
2020-01-01,O-,78,65
2020-01-01,A+,118,95
2020-01-01,A-,62,50
2020-01-01,B+,98,85
2020-01-01,B-,48,40
2020-01-01,AB+,38,32
2020-01-01,AB-,28,22
2020-01-02,O+,152,125
2020-01-02,O-,82,70
2020-01-02,A+,125,105
2020-01-02,A-,65,55
2020-01-02,B+,105,88
2020-01-02,B-,52,44
2020-01-02,AB+,42,35
2020-01-02,AB-,32,26
2020-01-03,O+,148,130
2020-01-03,O-,75,62
2020-01-03,A+,120,100
2020-01-03,A-,60,48
2020-01-03,B+,95,78
2020-01-03,B-,45,36
2020-01-03,AB+,35,28
2020-01-03,AB-,25,20
2020-01-04,O+,168,145
2020-01-04,O-,88,75
2020-01-04,A+,135,115
2020-01-04,A-,72,60
2020-01-04,B+,108,92
2020-01-04,B-,54,46
2020-01-04,AB+,40,34
2020-01-04,AB-,30,24
2020-01-05,O+,172,148
2020-01-05,O-,92,78
2020-01-05,A+,138,118
2020-01-05,A-,75,62
2020-01-05,B+,112,95
2020-01-05,B-,56,48
2020-01-05,AB+,42,35
2020-01-05,AB-,32,26
2020-01-06,O+,162,138
2020-01-06,O-,85,72
2020-01-06,A+,132,112
2020-01-06,A-,70,58
2020-01-06,B+,108,92
2020-01-06,B-,54,46
2020-01-06,AB+,40,34
2020-01-06,AB-,30,24
2020-01-07,O+,128,110
2020-01-07,O-,65,55
2020-01-07,A+,105,88
2020-01-07,A-,55,45
2020-01-07,B+,85,72
2020-01-07,B-,42,35
2020-01-07,AB+,32,26
2020-01-07,AB-,22,18
2020-01-08,O+,145,120
2020-01-08,O-,78,65
2020-01-08,A+,118,95
2020-01-08,A-,62,50
2020-01-08,B+,98,85
2020-01-08,B-,48,40
2020-01-08,AB+,38,32
2020-01-08,AB-,28,22
